epoch,batch_loss_mean,train_loss,val_loss
1,0.48103827760565654,0.46836139568116303,0.4660798000669061
2,0.46072626124050203,0.4529722332888356,0.44789821415190173
3,0.44660602658936266,0.4411047211160504,0.43327175585934474
4,0.4386595003100129,0.43646243261155127,0.4288964597007176
5,0.435672153477386,0.43486576765301566,0.4286948271381291
6,0.4348588178752954,0.43452930448082683,0.4291417180217259
7,0.4344757454716591,0.4338275854971611,0.4288977735830245
8,0.4339784140042931,0.4337812380728896,0.42957451983945605
9,0.43396587406606046,0.4337129127255966,0.42928581335282745
10,0.43370060078044315,0.4333978658165165,0.4297157502579532
11,0.433625653317514,0.43339554843897493,0.4296431527636443
12,0.4335352789554584,0.4333075419477067,0.42990726127971257
13,0.43354595562410847,0.4333168293062618,0.4300947631806976
14,0.43353927180765706,0.43324347580316475,0.4304422682143758
15,0.4334451974143024,0.4331340132623536,0.4306395428240103
