epoch,batch_loss_mean,train_loss,val_loss
1,0.6893739691915763,0.6871794501088712,0.6910219159024725
2,0.6845656379024451,0.6780492992377208,0.6743413526083442
3,0.6694985610449928,0.6591710302546522,0.6486159794517127
4,0.6494160492280765,0.642825318163888,0.632421227282361
5,0.6418062856177572,0.6414321891081698,0.6339645367851148
6,0.6416214632432029,0.6414545087230636,0.6354986252510005
7,0.6418322709632852,0.6413751607631296,0.6347465516249097
8,0.641643631382246,0.6413954463935954,0.6337158905732243
9,0.6414732814630564,0.6413631312597108,0.6338586543751614
10,0.6414685204445483,0.6413613575727953,0.634155768818524
11,0.6417707156507724,0.6413982949369716,0.6337161408793737
12,0.6416897798192245,0.6414356577966103,0.6341611431091978
13,0.6416820240256341,0.6413589136307115,0.6341208000827208
14,0.6417887443267065,0.6414822205906087,0.6329650516423102
