model,accuracy,f1,precision,recall
QSVM,0.985,0.9887640449438202,0.9924812030075189,0.9850746268656716
Ablation_VQC_Tensor,0.675,0.7781569965870307,0.7169811320754716,0.8507462686567164
DRU_VQC,0.985,0.988929889298893,0.978102189781022,1.0
SVC_RBF,0.995,0.99625468164794,1.0,0.9925373134328358
Random_Forest,0.995,0.99625468164794,1.0,0.9925373134328358
